Date;Close/Last;Volume;Open;High;Low
04/28/2021;130.71;8195648;$132.26;$132.33;$130.345
04/27/2021;132.11;5833092;$132;$132.79;$131.41
04/26/2021;131.6;8217807;$130.49;$131.7;$129.32
04/23/2021;130.19;7489517;$128.93;$130.65;$128.4604
04/22/2021;129.18;6442917;$129.89;$130.37;$127.98
04/21/2021;129.9;7110855;$127.59;$130.33;$127.37
04/20/2021;127.11;13268680;$129.17;$129.9;$125.7
04/19/2021;132.57;5613592;$134.3;$134.38;$132.15
04/16/2021;134.31;6852498;$134.71;$134.77;$133.73
04/15/2021;133.67;6285030;$133;$134.07;$132.68
04/14/2021;132.26;7354084;$133.54;$134.18;$131.82
04/13/2021;133.54;8778164;$135.6;$135.99;$133.4
04/12/2021;136.64;5638234;$134.75;$136.9;$134.22
04/09/2021;135.45;6056769;$133.94;$135.5;$133.5
04/08/2021;133.68;8748392;$137.28;$137.31;$133.405
04/07/2021;136.54;6646002;$136.99;$138.24;$136.36
04/06/2021;137.16;4670099;$135.44;$137.71;$134.93
04/05/2021;135.12;5508931;$133.1;$135.68;$133.1
04/01/2021;132.53;5720557;$134.69;$134.69;$132.21
03/31/2021;132.89;6878936;$133.09;$134.18;$131.92
03/30/2021;132.95;6026601;$132.345;$133.35;$131.22
03/29/2021;133.49;7153914;$132.94;$133.91;$130.66
03/26/2021;132.99;10010470;$131.6;$133.185;$129.77
03/25/2021;128.64;18475800;$127.05;$129.39;$125.44
03/24/2021;133.16;8157637;$136.45;$137.92;$132.88
03/23/2021;137.12;5582625;$138.49;$140.64;$136.55
03/22/2021;138.27;7537298;$137.63;$138.81;$136.03
03/19/2021;137.49;24980360;$140;$142.86;$135.51
03/18/2021;143.17;10279420;$144.37;$146.66;$142.55
03/17/2021;144.82;5134378;$143.2;$146.15;$143.2
03/16/2021;144.65;5622963;$145.88;$146.15;$143.8449
03/15/2021;144.94;5417218;$140.7;$145;$140.6664
03/12/2021;140.45;4143150;$140;$140.91;$138.6
03/11/2021;141.19;5696538;$139.18;$142.2;$138.56
03/10/2021;137.59;4519576;$136.5;$138.2;$136.1
03/09/2021;135.95;5977764;$135.51;$138;$135.45
03/08/2021;134.56;4983035;$133.64;$135.63;$132.37
03/05/2021;133.35;5957148;$133.54;$133.68;$129.1878
