Date,Close/Last,Volume,Open,High,Low
01/12/2021,3794.5,N/A,3794.5,3794.5,3794.5
01/10/2021,3807.3,N/A,3807.3,3807.3,3807.3
01/08/2021,3792,8,3807.3,3807.3,3807.3
01/07/2021,3681.5,N/A,3681.5,3681.5,3681.5
01/06/2021,3681.5,N/A,3681.5,3681.5,3681.5
01/05/2021,3681.5,N/A,3681.5,3681.5,3681.5
01/04/2021,3681.5,N/A,3681.5,3681.5,3681.5
12/31/2020,3681.5,N/A,3681.5,3681.5,3681.5
12/30/2020,3681.5,N/A,3681.5,3681.5,3681.5
12/29/2020,3681.5,N/A,3681.5,3681.5,3681.5
12/28/2020,3681.5,N/A,3681.5,3681.5,3681.5
12/24/2020,3681.5,N/A,3681.5,3681.5,3681.5
12/23/2020,3681.5,N/A,3681.5,3681.5,3681.5
12/22/2020,3795.6,8,3694.7,3694.7,3694.7
12/21/2020,3685.8,1,3637.2,3637.2,3637.2
12/18/2020,3706.2,43,3708.8,3720,3708.8
12/17/2020,3712.8,N/A,3712.8,3712.8,3712.8
12/16/2020,3605.1,N/A,3605.1,3605.1,3605.1
12/15/2020,3598.6,N/A,3598.6,3598.6,3598.6
12/14/2020,3554.3,N/A,3554.3,3554.3,3554.3
12/11/2020,3567.5,N/A,3567.5,3567.5,3567.5
12/10/2020,3572.7,N/A,3572.7,3572.7,3572.7
12/09/2020,3672.4,16,3706.8,3708.2,3706.8
12/08/2020,3702,N/A,3702,3702,3702
12/07/2020,3690.8,N/A,3690.8,3690.8,3690.8
12/04/2020,3697.9,N/A,3697.9,3697.9,3697.9
12/03/2020,3664.6,8,3668.4,3668.4,3668.4
12/02/2020,3660.5,N/A,3660.5,3660.5,3660.5
12/01/2020,3660.5,N/A,3660.5,3660.5,3660.5
11/30/2020,3667.3,29,3644.4,3646.3,3631.8
11/27/2020,3636.5,21,3632,3634.2,3628.8
11/25/2020,3627.3,19,3640.3,3640.3,3629.4
11/24/2020,3632.7,N/A,3632.7,3632.7,3632.7
11/23/2020,3576,7,3577.3,3578,3577.3
11/20/2020,3554.2,N/A,3554.2,3554.2,3554.2
11/19/2020,3580.1,1,3550.4,3550.4,3550.4
11/18/2020,3564.9,N/A,3564.9,3564.9,3564.9
11/17/2020,3606.8,4,3611.2,3613.1,3610.9
11/16/2020,3623,3,3618.8,3619,3618.8
11/13/2020,3581.9,N/A,3581.9,3581.9,3581.9
11/12/2020,3532.5,1,3556.7,3556.7,3556.7
11/11/2020,3568.1,3,3567.2,3567.2,3567.2
11/10/2020,3541,2,3539.4,3539.4,3539.3
11/09/2020,3544,4,3629.3,3658.4,3629.3
11/06/2020,3500.7,10,3466.7,3502.7,3466.7
11/05/2020,3504.8,1,3491.2,3491.2,3491.2
11/04/2020,3434.9,2,3344.9,3344.9,3344.8
11/03/2020,3361.6,3,3337,3344.8,3336.8
11/02/2020,3300.5,29,3303.9,3314.2,3296
10/30/2020,3264.7,16,3252.7,3285.6,3252.2
10/29/2020,3302.3,13,3286.3,3286.3,3269.7
10/28/2020,3263.5,10,3367.3,3367.3,3277.8
10/27/2020,3383.1,8,3396.8,3396.8,3368.3
10/26/2020,3393.5,1,3417.3,3417.3,3417.3
10/23/2020,3428.3,N/A,3428.3,3428.3,3428.3
10/22/2020,3428.3,N/A,3428.3,3428.3,3428.3
10/21/2020,3451.8,1,3428.3,3428.3,3428.3
10/20/2020,3483,N/A,3483,3483,3483
